,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
85,2020-03-30,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,https://doi.org/10.1101/2020.03.30.20044099,medrxiv,Time-series analysis,Temperature,Y,"Every 1C increase in the AT led to a decrease in the daily confirmed cases by 36% to 57% when ARH was in the range from 67% to 85.5%. Every 1% increase in ARH led to a decrease in the daily confirmed cases by 11% to 22% when AT was in the range from 5.04°C to 8.2°C. However, results were not consistent throughout provinces in mainland china",countries: China; provinces: 31,04/08/2020
86,2020-03-30,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,https://doi.org/10.1101/2020.03.30.20044099,medrxiv,Time-series analysis,Humidity,Y,"Every 1C increase in the AT led to a decrease in the daily confirmed cases by 36% to 57% when ARH was in the range from 67% to 85.5%. Every 1% increase in ARH led to a decrease in the daily confirmed cases by 11% to 22% when AT was in the range from 5.04°C to 8.2°C. However, results were not consistent throughout provinces in mainland china",countries: China; provinces: 31,04/08/2020
87,2020-03-30,Effects of temperature on COVID-19 transmission,https://doi.org/10.1101/2020.03.29.20044461,medrxiv,Retrospective Study,Temperature,N,"Changes in temperature shows no significant correlation with cases transmitted, deaths or recovered:",cases: 240000,04/15/2020
88,2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics,https://doi.org/10.1101/2020.03.23.20040501,medRxiv,Ecological Regression,Temperature,Y,Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe.,countries: 189,04/06/2020
89,2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics,https://doi.org/10.1101/2020.03.23.20040501,medRxiv,Ecological Regression,Humidity,Y,Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe.,countries: 189,04/06/2020
90,2020-03-27,Modeling the Corona Virus Outbreak in IRAN,https://doi.org/10.1101/2020.03.24.20041095,medRxiv,Retrospective Study,Temperature,-,The available data is too small to identify seasonal patterns and make predictable variation in value,cases: 19661,04/06/2020
91,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Temperature,Y,Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts,cases: 2299,04/15/2020
92,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Humidity,Y,Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts,cases: 2299,04/15/2020
93,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Diurnal Temperature,N,-,cases: 2299,04/15/2020
94,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Air Pollutant,N,-,cases: 2299,04/15/2020
95,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Temperature,Y,"1C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]",cases: 166686,04/15/2020
96,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Precipitation,N,-,cases: 166686,04/15/2020
97,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Specific Humidity,N,-,cases: 166686,04/15/2020
98,2020-03-24,Social distancing strategies for curbing the COVID-19 epidemic,https://doi.org/10.1101/2020.03.22.20041079,medRxiv,Simulation,Seasonal Meteorological Factors,Y,"One-time social distancing efforts will push the SARS-CoV-2 epidemic peak into the autumn, potentially exacerbating the load on critical care resources if there is increased wintertime transmissibility",countries: USA,04/06/2020
99,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medrxiv,Ecological Study,Absolute Humidity,N,-,"countries: China, provinces: 31",04/08/2020
